Gen,Best,Worst,Avg,Timestamp
354,9.26507,16.58266,9.90644,2017-11-17 15:28:57
355,9.26507,14.57419,9.83805,2017-11-17 15:29:08
356,9.26507,16.25057,9.87603,2017-11-17 15:29:18
357,9.26507,16.19121,9.88061,2017-11-17 15:29:29
358,9.26507,16.58283,9.89335,2017-11-17 15:29:40
359,9.26507,16.91799,9.93122,2017-11-17 15:29:51
360,9.26507,16.25446,9.88127,2017-11-17 15:30:02
361,9.26507,18.31910,9.90435,2017-11-17 15:30:13
362,9.26507,17.63505,9.95117,2017-11-17 15:30:24
363,9.26507,15.86858,9.94711,2017-11-17 15:30:35
364,9.26507,15.98170,9.96130,2017-11-17 15:30:47
365,9.26507,15.85314,9.97519,2017-11-17 15:30:58
366,9.26507,17.30167,10.01225,2017-11-17 15:31:10
367,9.26507,16.67270,9.99200,2017-11-17 15:31:22
368,9.26507,16.74387,10.00146,2017-11-17 15:31:33
369,9.26507,16.68381,9.97028,2017-11-17 15:31:45
370,9.26507,16.26586,9.97110,2017-11-17 15:31:57
371,9.26507,16.36960,9.95453,2017-11-17 15:32:10
372,9.26507,16.52072,9.95468,2017-11-17 15:32:22
373,9.26328,16.69259,9.97533,2017-11-17 15:32:34
374,9.26328,15.89751,9.75581,2017-11-17 15:32:45
375,9.26328,15.17392,9.78254,2017-11-17 15:32:55
376,9.25352,15.89913,9.78876,2017-11-17 15:33:06
377,9.25352,14.77686,9.76578,2017-11-17 15:33:16
378,9.25352,14.63122,9.77481,2017-11-17 15:33:27
379,9.25352,15.41358,9.77704,2017-11-17 15:33:38
380,9.23512,16.12130,9.77715,2017-11-17 15:33:49
381,9.23512,14.98779,9.71485,2017-11-17 15:33:59
382,9.23512,16.21827,9.75536,2017-11-17 15:34:10
383,9.23512,14.53652,9.74280,2017-11-17 15:34:20
384,9.23512,15.63925,9.75746,2017-11-17 15:34:31
385,9.23512,16.55107,9.77335,2017-11-17 15:34:42
386,9.23512,15.55827,9.78964,2017-11-17 15:34:53
387,9.23512,16.55555,9.82129,2017-11-17 15:35:04
388,9.23512,17.33132,9.84882,2017-11-17 15:35:16
389,9.23512,15.69316,9.86774,2017-11-17 15:35:27
390,9.23512,17.74502,9.90388,2017-11-17 15:35:38
391,9.23512,16.38829,9.89049,2017-11-17 15:35:50
392,9.23512,16.54092,9.92065,2017-11-17 15:36:02
393,9.23512,17.53134,9.93811,2017-11-17 15:36:13
394,9.23512,18.05849,9.93452,2017-11-17 15:36:25
395,9.23512,17.52484,9.94691,2017-11-17 15:36:37
396,9.13941,17.70493,9.94722,2017-11-17 15:36:49
397,9.13941,15.17590,9.72100,2017-11-17 15:37:00
398,9.13941,17.72493,9.74849,2017-11-17 15:37:10
399,9.13941,15.82741,9.75568,2017-11-17 15:37:21
400,9.13941,16.32656,9.76946,2017-11-17 15:37:32
401,9.13941,16.32820,9.76244,2017-11-17 15:37:43
402,9.13941,17.95328,9.79590,2017-11-17 15:37:54
403,9.13941,16.72811,9.81019,2017-11-17 15:38:05
404,9.13941,16.99125,9.83630,2017-11-17 15:38:16
405,9.13941,16.62093,9.83650,2017-11-17 15:38:27
406,9.13941,16.00686,9.86038,2017-11-17 15:38:38
407,9.13941,17.20506,9.85987,2017-11-17 15:38:50
408,9.13941,16.46765,9.86981,2017-11-17 15:39:02
409,9.13941,17.37303,9.88183,2017-11-17 15:39:13
410,9.13941,16.56396,9.88497,2017-11-17 15:39:25
411,9.13571,17.37791,9.89055,2017-11-17 15:39:37
412,9.13571,17.21244,9.73102,2017-11-17 15:39:47
413,9.13571,15.63987,9.73123,2017-11-17 15:39:58
414,9.13571,16.39967,9.71165,2017-11-17 15:40:08
415,9.13571,15.40544,9.70352,2017-11-17 15:40:19
416,9.13571,18.37050,9.76170,2017-11-17 15:40:30
417,9.13571,17.85808,9.72980,2017-11-17 15:40:41
418,9.13571,17.14700,9.78297,2017-11-17 15:40:52
419,9.13571,18.61599,9.80850,2017-11-17 15:41:03
420,9.13571,17.49509,9.80981,2017-11-17 15:41:15
421,9.12200,16.62562,9.80390,2017-11-17 15:41:26
422,9.12200,16.12904,9.67956,2017-11-17 15:41:36
423,9.12200,15.69721,9.71645,2017-11-17 15:41:47
424,9.12200,17.07118,9.74128,2017-11-17 15:41:58
425,9.12200,17.06184,9.70354,2017-11-17 15:42:08
426,9.12200,16.03180,9.69725,2017-11-17 15:42:19
427,9.07910,17.25737,9.73273,2017-11-17 15:42:30
428,9.07910,17.91091,9.65305,2017-11-17 15:42:41
429,9.07910,16.37592,9.66809,2017-11-17 15:42:51
430,9.07910,16.66219,9.65843,2017-11-17 15:43:02
431,9.07910,16.15515,9.67350,2017-11-17 15:43:13
432,9.07259,16.41249,9.70810,2017-11-17 15:43:23
433,9.07259,17.21373,9.63999,2017-11-17 15:43:34
434,9.07259,15.96233,9.66566,2017-11-17 15:43:44
435,9.07259,16.61460,9.67034,2017-11-17 15:43:55
436,9.07259,16.90036,9.69084,2017-11-17 15:44:06
437,9.07259,16.71580,9.70837,2017-11-17 15:44:17
438,9.07259,16.26220,9.72405,2017-11-17 15:44:28
439,9.07259,16.68430,9.70833,2017-11-17 15:44:39
440,9.07259,16.75583,9.71984,2017-11-17 15:44:50
441,9.07259,17.69272,9.73191,2017-11-17 15:45:01
442,9.07259,17.94937,9.76419,2017-11-17 15:45:13
443,9.07259,17.26720,9.79679,2017-11-17 15:45:24
444,9.07259,18.33640,9.79177,2017-11-17 15:45:36
445,9.07259,17.77694,9.85560,2017-11-17 15:45:47
446,9.07259,18.70878,9.81631,2017-11-17 15:45:59
447,9.07259,17.44720,9.82587,2017-11-17 15:46:11
448,9.07259,16.37559,9.77159,2017-11-17 15:46:23
449,9.07259,16.63729,9.76593,2017-11-17 15:46:35
450,9.07259,18.86043,9.81835,2017-11-17 15:46:47
451,9.07259,18.14826,9.82692,2017-11-17 15:47:00
452,9.07259,17.36748,9.82855,2017-11-17 15:47:12
453,9.07259,18.18862,9.82937,2017-11-17 15:47:25
454,9.07259,16.95684,9.81515,2017-11-17 15:47:37
455,9.07259,18.44955,9.82337,2017-11-17 15:47:50
456,9.07259,16.93896,9.82963,2017-11-17 15:48:03
457,8.93709,18.55315,9.85751,2017-11-17 15:48:16
458,8.93709,14.59097,9.52381,2017-11-17 15:48:26
459,8.93709,16.07447,9.57327,2017-11-17 15:48:37
460,8.93709,16.60686,9.60229,2017-11-17 15:48:48
461,8.93709,16.31178,9.61665,2017-11-17 15:48:58
462,8.93709,15.97740,9.61866,2017-11-17 15:49:09
