Gen,Best,Worst,Avg,Timestamp
222,7.03100,10.31275,8.11341,2017-12-04 20:48:22
223,7.03100,10.01616,8.11379,2017-12-04 20:48:27
224,7.03100,9.92940,8.12581,2017-12-04 20:48:31
225,7.01614,9.94721,8.12452,2017-12-04 20:48:35
226,7.01614,9.84802,8.07686,2017-12-04 20:48:39
227,7.01614,10.06865,8.11261,2017-12-04 20:48:43
228,7.01614,10.78001,8.14231,2017-12-04 20:48:47
229,7.01614,9.96958,8.12262,2017-12-04 20:48:51
230,7.01614,9.87931,8.10065,2017-12-04 20:48:55
231,7.01614,10.32507,8.11556,2017-12-04 20:48:59
232,7.01614,9.67900,8.13537,2017-12-04 20:49:03
233,7.01614,10.60895,8.15664,2017-12-04 20:49:07
234,7.01614,10.11163,8.12971,2017-12-04 20:49:11
235,7.01614,10.36869,8.14817,2017-12-04 20:49:16
236,7.01614,10.37540,8.17511,2017-12-04 20:49:20
237,7.01614,10.28418,8.22924,2017-12-04 20:49:24
238,7.01614,10.60070,8.17958,2017-12-04 20:49:29
239,7.01614,10.96981,8.16255,2017-12-04 20:49:33
240,7.01614,10.43070,8.14338,2017-12-04 20:49:37
241,7.01614,10.62759,8.06385,2017-12-04 20:49:42
242,7.01614,10.28406,8.00330,2017-12-04 20:49:47
243,7.01614,10.13715,7.96675,2017-12-04 20:49:51
244,7.01614,10.89217,8.02215,2017-12-04 20:49:56
245,7.01614,10.54245,8.00624,2017-12-04 20:50:01
246,6.91490,10.70881,7.98629,2017-12-04 20:50:05
247,6.91490,10.02284,7.95746,2017-12-04 20:50:09
248,6.91490,9.84294,7.97308,2017-12-04 20:50:13
249,6.91490,10.67407,7.95459,2017-12-04 20:50:17
250,6.91490,10.51514,8.00041,2017-12-04 20:50:21
251,6.91490,9.76845,7.99835,2017-12-04 20:50:25
252,6.91490,10.33062,8.00205,2017-12-04 20:50:29
253,6.91071,10.01201,8.02892,2017-12-04 20:50:33
254,6.91071,9.82531,7.96525,2017-12-04 20:50:37
255,6.89922,9.80118,7.96400,2017-12-04 20:50:41
256,6.89922,9.39019,8.00385,2017-12-04 20:50:45
257,6.89922,9.41619,8.05650,2017-12-04 20:50:49
258,6.89922,10.17862,8.02310,2017-12-04 20:50:53
259,6.89922,10.10114,7.97767,2017-12-04 20:50:57
260,6.89922,9.93129,7.96780,2017-12-04 20:51:01
261,6.89922,10.97844,8.00836,2017-12-04 20:51:05
262,6.89922,10.45855,8.02135,2017-12-04 20:51:09
263,6.89922,11.12429,7.99221,2017-12-04 20:51:13
264,6.89922,10.06274,8.00823,2017-12-04 20:51:17
265,6.89922,10.28908,8.02934,2017-12-04 20:51:21
266,6.89922,11.18412,8.02564,2017-12-04 20:51:25
267,6.88471,9.90871,8.04774,2017-12-04 20:51:30
268,6.88471,9.76513,8.01326,2017-12-04 20:51:34
269,6.88471,9.91835,8.01569,2017-12-04 20:51:37
270,6.88471,10.25050,8.00763,2017-12-04 20:51:41
271,6.88471,10.18417,8.02641,2017-12-04 20:51:45
272,6.80731,10.65042,7.99208,2017-12-04 20:51:49
273,6.80731,9.89118,7.99243,2017-12-04 20:51:53
274,6.80731,9.82631,8.02842,2017-12-04 20:51:57
275,6.80731,10.32691,7.99411,2017-12-04 20:52:01
276,6.80731,10.74496,7.94249,2017-12-04 20:52:05
277,6.80731,10.78794,7.94135,2017-12-04 20:52:09
278,6.80731,10.24536,7.95141,2017-12-04 20:52:13
279,6.80731,9.89658,7.97049,2017-12-04 20:52:17
280,6.80731,10.10412,7.98059,2017-12-04 20:52:21
281,6.80731,10.45748,8.00207,2017-12-04 20:52:26
282,6.80731,10.67899,8.04331,2017-12-04 20:52:30
283,6.80731,10.02798,8.02456,2017-12-04 20:52:34
284,6.80731,10.16256,8.02989,2017-12-04 20:52:38
285,6.80731,10.01225,7.98232,2017-12-04 20:52:43
286,6.80731,10.64753,8.00697,2017-12-04 20:52:47
287,6.80731,10.28249,8.02202,2017-12-04 20:52:52
288,6.80731,10.26208,7.95595,2017-12-04 20:52:56
289,6.80731,10.61011,7.91286,2017-12-04 20:53:01
290,6.80731,10.48169,7.88823,2017-12-04 20:53:05
291,6.80731,10.11200,7.86662,2017-12-04 20:53:10
292,6.80731,10.45902,7.83026,2017-12-04 20:53:14
293,6.80731,10.04257,7.83062,2017-12-04 20:53:19
294,6.80731,10.77813,7.83432,2017-12-04 20:53:24
295,6.80731,10.38723,7.80371,2017-12-04 20:53:28
296,6.80731,10.63627,7.79924,2017-12-04 20:53:33
297,6.80731,10.78045,7.80668,2017-12-04 20:53:38
298,6.80731,10.46276,7.77186,2017-12-04 20:53:43
299,6.80296,10.48466,7.77936,2017-12-04 20:53:48
300,6.80296,10.04116,7.76182,2017-12-04 20:53:51
301,6.80296,10.11544,7.84662,2017-12-04 20:53:55
302,6.80296,10.01250,7.85834,2017-12-04 20:53:59
303,6.80296,9.77083,7.86450,2017-12-04 20:54:03
304,6.80296,10.15106,7.86495,2017-12-04 20:54:07
305,6.80296,10.04677,7.90003,2017-12-04 20:54:11
306,6.80296,10.91884,7.93166,2017-12-04 20:54:15
307,6.80296,10.03188,7.95338,2017-12-04 20:54:19
308,6.80296,11.09078,7.93871,2017-12-04 20:54:24
309,6.80296,10.42833,7.99724,2017-12-04 20:54:28
310,6.80296,10.42602,7.99651,2017-12-04 20:54:32
311,6.80296,11.39321,7.97885,2017-12-04 20:54:36
312,6.80296,10.61402,7.96654,2017-12-04 20:54:41
313,6.80296,10.52240,7.91982,2017-12-04 20:54:45
314,6.80296,10.26392,7.93561,2017-12-04 20:54:49
315,6.80296,10.41055,7.91117,2017-12-04 20:54:54
316,6.80296,10.71256,7.89174,2017-12-04 20:54:58
317,6.80296,10.65998,7.89101,2017-12-04 20:55:03
318,6.80296,11.18937,7.83383,2017-12-04 20:55:07
319,6.80296,10.67926,7.82170,2017-12-04 20:55:12
320,6.70209,10.77056,7.85569,2017-12-04 20:55:17
321,6.70209,10.19352,7.82297,2017-12-04 20:55:21
322,6.70209,10.09145,7.86580,2017-12-04 20:55:24
323,6.70209,10.20466,7.81057,2017-12-04 20:55:28
324,6.70209,10.56451,7.80705,2017-12-04 20:55:32
325,6.70209,9.91802,7.86014,2017-12-04 20:55:36
326,6.70209,11.08320,7.83299,2017-12-04 20:55:40
327,6.70209,10.21959,7.87326,2017-12-04 20:55:44
328,6.70209,10.48788,7.91331,2017-12-04 20:55:48
329,6.70209,10.43791,7.86882,2017-12-04 20:55:53
330,6.70209,10.20052,7.87068,2017-12-04 20:55:57
331,6.70209,10.45890,7.93465,2017-12-04 20:56:01
